Player,FG,FGA,3P,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,POS
LeBron James,765,1354,103,403,535,610,551,129,67,226,2036,SF
Kevin Durant,731,1433,139,679,750,640,374,116,105,280,2280,SF
Chris Paul,412,856,76,286,323,262,678,169,10,159,1186,PG
Carmelo Anthony,669,1489,157,425,512,460,171,52,32,175,1920,SF
Brook Lopez,570,1094,0,297,392,512,70,33,154,131,1437,C
Tim Duncan,490,976,2,245,300,686,184,50,183,147,1227,PF
Dwyane Wade,569,1093,17,308,425,344,352,128,56,194,1463,SG
Russell Westbrook,673,1535,97,460,575,428,607,145,24,273,1903,PG
Kobe Bryant,738,1595,132,525,626,433,469,106,25,287,2133,SG
James Harden,585,1337,179,674,792,379,455,142,38,295,2023,SG
Tony Parker,519,995,24,279,330,198,499,54,6,170,1341,PG
Blake Griffin,577,1072,5,281,426,662,299,97,50,185,1440,PF
Andray Blatche,346,676,3,148,216,417,85,86,54,123,843,PF
Anthony Davis,349,676,0,169,225,522,63,75,112,89,867,PF
Kyrie Irving,484,1070,109,248,290,216,350,89,21,191,1325,PG
Stephen Curry,626,1388,272,262,291,314,539,126,12,240,1786,PG
Al Jefferson,611,1236,2,167,217,720,164,80,89,105,1391,C
John Wall,324,735,12,246,306,196,373,65,37,157,906,PG
LaMarcus Aldridge,638,1318,2,282,348,670,192,62,91,143,1560,PF
Deron Williams,495,1124,169,317,369,232,604,75,30,218,1476,PG
DeMarcus Cousins,482,1036,4,312,423,746,199,108,55,225,1280,C
Nikola Pekovic,385,741,0,241,324,545,53,43,50,101,1011,C
David West,502,1009,4,242,315,563,213,74,69,157,1250,PF
Chris Bosh,485,907,21,241,302,501,123,66,101,128,1232,PF
Al Horford,576,1060,3,134,208,757,240,78,78,147,1289,C
Paul Millsap,429,875,13,264,356,554,201,102,80,138,1135,PF
Dirk Nowitzki,343,728,65,166,193,363,132,38,37,70,917,PF
J.J. Hickson,418,744,0,182,268,828,88,48,51,145,1018,PF
Marc Gasol,429,869,1,268,316,622,318,80,139,157,1127,C
Greg Monroe,514,1058,0,270,392,777,281,105,55,234,1298,C
Dwight Howard,470,813,1,355,721,945,108,84,186,225,1296,C
Serge Ibaka,446,778,20,143,191,617,43,28,242,125,1055,PF
Kevin Garnett,422,850,2,158,201,530,159,78,62,110,1004,PF
David Lee,602,1160,0,255,320,886,279,67,22,207,1459,PF
Paul Pierce,476,1092,145,333,423,487,370,84,30,214,1430,SF
Tyson Chandler,255,400,0,179,258,703,62,42,75,87,689,C
Robin Lopez,384,719,0,161,207,462,64,32,128,110,929,C
Jose Calderon,312,635,130,72,80,176,518,58,8,126,826,PG
Kemba Walker,526,1244,107,296,371,283,471,160,31,200,1455,PG
Larry Sanders,306,605,0,84,136,672,83,53,201,87,696,C
Tiago Splitter,315,563,0,208,285,515,130,63,64,100,838,C
Kenneth Faried,380,689,0,163,266,734,77,81,83,113,923,PF
Mike Conley,414,940,106,234,282,225,487,174,24,189,1168,PG
Ersan Ilyasova,371,803,95,125,157,520,117,68,36,75,962,PF
Thaddeus Young,509,958,1,108,188,571,125,133,55,90,1127,PF
Ryan Anderson,472,1115,213,152,180,519,97,42,31,97,1309,PF
Tyreke Evans,366,765,45,210,271,287,229,90,27,128,987,PG
Joakim Noah,303,630,0,178,237,733,262,78,141,176,784,C
Shawn Marion,355,690,23,79,101,525,163,75,47,103,812,SF
Ty Lawson,448,971,85,235,311,198,501,107,8,182,1216,PG
Zach Randolph,471,1024,2,225,300,854,108,61,31,150,1169,PF
Vince Carter,372,855,162,182,223,334,194,74,44,106,1088,SG
Ed Davis,260,482,0,103,167,460,63,38,85,63,623,PF
Nikola Vucevic,461,889,0,86,126,917,143,61,79,141,1008,C
Ramon Sessions,276,676,33,291,347,169,230,48,7,104,876,PG
Josh Smith,550,1182,61,166,321,639,321,94,136,226,1327,PF
Andrei Kirilenko,284,560,35,188,250,362,177,96,62,119,791,SF
